"MAE","INT-COV","INT-SIZE","CRPS","MAE","INT-COV","INT-SIZE","CRPS"
2.16,0.96,11.23,1.53,24.34,0.93,115.29,17.4
3.2,1,437.63,18.37,109.93,1,14683.04,849.64
15.32,0.85,73.45,13.3,368.79,0.78,1547.76,292.29
13.88,0.92,152.19,11.29,312.5,0.93,3539.22,247.04
1.92,0.98,10.49,1.33,5.4,0.96,29.54,3.8
5.12,1,774.11,38.94,14.1,1,1947.94,102.81
4.55,0.89,18.82,3.5,23.85,0.83,89.04,18.52
4.2,0.93,43.09,3.4,27.16,0.98,301.17,21.7
0.39,0.99,2.66,0.3,11.51,0.95,30.03,9.13
0.7,1,96.3,3.55,5.25,1,391.85,16.85
0.96,0.96,5.44,0.84,37.6,0.83,97.04,24.15
0.72,0.98,7.43,0.58,19.92,0.92,213.46,16.24
0.74,0.99,3.48,0.5,4.73,0.94,21.43,3.29
0.98,1,125.96,4.68,8.45,1,1194.11,57.35
1.27,0.93,5.24,0.95,27.66,0.82,125.57,21.4
1.05,0.97,8.41,0.78,39.01,0.94,395.19,30.5
214.82,0.93,979.9,150.77,58.2,0.95,295.11,41.69
1799.02,1,232293.46,13731.78,261.52,1,36659.84,2138.97
2612.83,0.75,8940.69,2046.65,523.97,0.75,1587.85,394.97
3290.3,0.96,34814.56,2610.11,572.37,0.95,5793.36,446.86
